,Date,Value
0,2015-12-31,587450.0
1,2015-10-31,589000.0
2,2015-02-28,620000.0
3,2015-01-31,620000.0
4,2014-12-31,629000.0
5,2014-11-30,632500.0
6,2014-10-31,619900.0
7,2014-09-30,589700.0
8,2014-08-31,579000.0
9,2014-07-31,549900.0
10,2014-06-30,525000.0
11,2014-05-31,505000.0
12,2014-04-30,499900.0
13,2014-03-31,475000.0
14,2014-02-28,489000.0
15,2014-01-31,465000.0
16,2013-12-31,464750.0
17,2013-11-30,439000.0
18,2013-10-31,449000.0
19,2013-09-30,419900.0
20,2013-08-31,425000.0
21,2013-07-31,425000.0
22,2013-06-30,449000.0
23,2013-05-31,450000.0
24,2013-04-30,449995.0
25,2013-03-31,430000.0
26,2013-02-28,424999.0
27,2013-01-31,389000.0
28,2012-12-31,399000.0
29,2012-11-30,399000.0
30,2012-10-31,414900.0
31,2012-09-30,379900.0
32,2012-08-31,379000.0
33,2012-07-31,359000.0
34,2012-06-30,365000.0
35,2012-05-31,355000.0
36,2012-04-30,349000.0
37,2012-03-31,349900.0
38,2012-02-29,349000.0
39,2012-01-31,349000.0
40,2011-12-31,359000.0
41,2011-11-30,349000.0
42,2011-10-31,335000.0
43,2011-09-30,345900.0
44,2011-08-31,349900.0
45,2011-07-31,349900.0
46,2011-06-30,345000.0
47,2011-05-31,346000.0
48,2011-04-30,342999.0
49,2011-03-31,347000.0
50,2011-02-28,349900.0
51,2011-01-31,353100.0
52,2010-12-31,359000.0
53,2010-11-30,359000.0
54,2010-10-31,361200.0
55,2010-09-30,359900.0
56,2010-08-31,359900.0
57,2010-07-31,359900.0
58,2010-06-30,365000.0
59,2010-05-31,369000.0
60,2010-04-30,369000.0
61,2010-03-31,379000.0
62,2010-02-28,385000.0
63,2010-01-31,375000.0
64,2009-12-31,375000.0
65,2009-11-30,365000.0
66,2009-10-31,370000.0
67,2009-09-30,379900.0
68,2009-08-31,369900.0
69,2009-07-31,379000.0
70,2009-06-30,369000.0
71,2009-05-31,365000.0
72,2009-04-30,370000.0
73,2009-03-31,379900.0
74,2009-02-28,349500.0
75,2009-01-31,329900.0
76,2008-12-31,339900.0
77,2008-11-30,339900.0
78,2008-10-31,339900.0
